experiment_id,status,raw_file,event_id,event_index,event_start_idx,event_end_idx,peak_idx,trough_idx,time_start,time_end,peak_time,trough_time,duration_s,n_samples,tau_drop,tau_drop_over_dataset_std,tau_peak,tau_trough,tau_recovery,tau_gradient_peak,V_std,V_range,velocity_consistency_corr,velocity_noise_ratio,gap_fraction,missing_fraction,dt_median,dataset_n_samples,dataset_duration_s,dataset_tau_mean,dataset_tau_std,dataset_V_mean,dataset_V_std,event_quality_score
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_007,7.0,793382.0,817328.0,795489.0,817094.0,11666.342,11690.287,11668.449,11690.054,23.94499999999971,23946.0,0.5889224847924055,0.4810236053888865,11.404055049337764,10.815132564545358,0.18785697262194745,1.315204499603169,2.6416335028723354,56.185493440318744,0.9587434242380801,0.6330455675000577,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.4665994081814272
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_001,1.0,22029.0,85325.0,51111.0,56243.0,10894.989,10958.284,10924.071,10929.203,63.29500000000007,63296.0,0.4193434189368599,0.3425138086622972,13.435542857883899,13.016199438947039,0.4939810842460446,0.5772458175415522,4.557299907724783,31.03419559009282,0.9907260575747115,0.41956949838834606,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.4638528451817241
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_015,15.0,1652326.0,1707736.0,1659034.0,1706749.0,12525.286,12580.695,12531.994,12579.709,55.40899999999965,55410.0,0.333528932210001,0.272421742446654,13.828383878545912,13.494854946335911,0.37414951578824507,1.704784938906414,3.0283630891777586,53.43261412816063,0.9944675356980683,0.39681961360611423,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.3966895782128261
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_012,12.0,994781.0,1015873.0,1004842.0,1005812.0,11867.741,11888.832,11877.802,11878.772,21.09100000000035,21092.0,0.29476490612513295,0.24075983095875264,13.55247165045318,13.257706744328047,0.4138731616529281,1.0009927637756846,0.789386426929628,5.211745938374778,0.9637625978315633,1.0543824329900546,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.28330113380484073
p5838,available_event,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,p5838_event_011,11.0,991716.0,996655.0,992907.0,994781.0,11864.676,11869.614,11865.867,11867.741,4.938000000000102,4939.0,0.24928210940027284,0.20361012207732979,13.427713618241894,13.178431508841621,0.1273527383290407,0.7988702133252445,1.022829134891486,4.727102235842927,0.9744036725895202,0.8037532350719981,0.0,0.0,0.0010000000002037268,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,0.21238383053305682
p5838,available_experiment,C:\Users\carla\Desktop\EECE 798K\Project\data\utah_forge\p5838_datatable.mat,,,,,,,,,,,,,,,,,,,,,,,,,,1856909.0,1860.8680000000004,13.188022532871488,1.2243113160567085,3.499368191770766,16.18856733541061,
p5848,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5897,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5905,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p5912,missing_local_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
